artistid,artistname
/artist/87998229,Ann-Margret
/artist/834309,Anna Ternheim
/artist/239592835,Anna Tivel
/artist/239824291,Anne Nguyen
/artist/232671143,Anne Regina
/artist/92161,Anonymous
/artist/9127,Antonio Carlos Jobim
/artist/87960455,Antonio de Lucena
/artist/340612630,Antti Martikainen
/artist/239763418,April Kry
/artist/49150,Aqua
/artist/55800,Aretha Franklin
/artist/66078781,Ariana Grande
/artist/10046,Ariane Moffatt
/artist/232943749,Armaan Malik
/artist/87936998,Armik
/artist/232685909,Aro
/artist/235987,Art Pepper
/artist/232730109,Artenovum
/artist/239678289,Asako Yoshihiro
/artist/87912674,Asher Book
/artist/232679538,Ashley Jay
/artist/232887495,Ashu
/artist/209981094,Assen捷
/artist/213128454,Astralia
/artist/87979641,Athletics
/artist/232823790,Attaullah Khan Esakhelvi
/artist/87979858,Attila Fias
/artist/239795964,Attraction
/artist/1450359,Au Revoir Simone
/artist/211815261,Audien
/artist/239597441,Audio Idols
/artist/87912627,Audrey Hepburn
/artist/87930206,Avens
/artist/11701,Avril Lavigne
/artist/340421829,Awaken-F
/artist/49515310,Awolnation
/artist/87977239,Ayah Marar
/artist/239585214,Ayan
/artist/340503612,Ayo97
/artist/87917309,Azis
/artist/209968568,A公馆
/artist/239603925,afternoon
/artist/87982098,alvin lee
/artist/232912700,amilia k spicer
/artist/340498068,はちみつロケット
/artist/24992843,傲艺
/artist/340524966,原臣
/artist/340289538,哎哟蔚蔚
/artist/340437693,奥 華子
/artist/209713129,奥云格日乐
/artist/340558388,安宁音乐
/artist/340228720,安安
/artist/2632,安敏捷
/artist/1397,安琥
/artist/340512596,安瑾
/artist/209949178,安百慧
/artist/14085176,安神
/artist/211113067,安苏羽
/artist/232926682,敖都
/artist/85577581,李艺真
/artist/340000318,沙俊伯
/artist/340432311,爱情公寓全体
/artist/88003587,爱新觉罗·启笛
/artist/18327593,艾丽雅
/artist/2329,艾歌
/artist/340260220,艾福杰尼
/artist/65493522,艾菲
/artist/87908904,阿云嘎
/artist/1271,阿信
/artist/1558,阿兰
/artist/209847380,阿力木
/artist/92454933,阿原
/artist/210035567,阿吉太组合
/artist/239638528,阿妮桑
/artist/232930835,阿姣
/artist/232941052,阿娟
/artist/87913467,阿尔法
/artist/87972129,阿峰
/artist/1422135,阿悄
/artist/88032744,阿斯满
/artist/88034520,阿木古楞
/artist/197044145,阿木宇梅
/artist/87901298,阿本
/artist/1177,阿朵
/artist/94490425,阿权
/artist/209996311,阿杰
/artist/211132287,阿枫
/artist/1805,阿正
/artist/1435,阿清
/artist/87971770,阿班
/artist/1880301,阿索
/artist/340183520,阿西·陈里俄日
/artist/1444,阿里郎
/artist/340610758,阿雷克狂欢者乐队
/artist/83872,阿鲁阿卓
/artist/340465858,8先生
/artist/222989,B.B. King
/artist/235383,B.J. Thomas
/artist/239581146,BBF
/artist/239560763,BEJ48
/artist/340507868,BIN何舞阳
